date,time,tutee,sessions,status
2025-09-02,18:00,JC,1,Paid
2025-09-05,18:00,JC,1,Paid
2025-09-08,18:00,JC,1,Paid
2025-09-11,18:00,JC,1,Paid
2025-09-14,18:00,JC,1,Paid
2025-09-17,18:00,JC,1,Paid
2025-09-20,18:00,JC,1,Paid
2025-09-23,18:00,JC,1,Paid
2025-09-26,18:00,JC,1,Paid
2025-09-29,18:00,JC,1,Paid
2025-10-02,18:00,JC,1,Paid
2025-10-05,18:00,JC,1,Paid
2025-10-08,18:00,JC,1,Paid
2025-10-11,18:00,JC,1,Paid
2025-10-14,18:00,JC,1,Paid
2025-10-17,18:00,JC,1,Paid
2025-10-20,18:00,JC,1,Paid
2025-10-23,18:00,JC,1,Paid
2025-10-26,18:00,JC,1,Paid
2025-10-29,18:00,JC,1,Paid
2025-11-01,18:00,JC,1,Paid
2025-11-04,18:00,JC,1,Paid
2025-11-07,18:00,JC,1,Paid
2025-11-10,18:00,JC,1,Paid
2025-11-13,18:00,JC,1,Paid
2025-11-16,18:00,JC,1,Paid
2025-11-19,18:00,JC,1,Paid
2025-11-22,18:00,JC,1,Paid
2025-11-25,18:00,JC,1,Paid
2025-11-28,18:00,JC,1,Paid
2025-12-01,18:00,JC,1,Paid
2025-12-04,18:00,JC,1,Paid
2025-12-07,18:00,JC,1,Paid
2025-12-10,18:00,JC,1,Paid
2025-12-13,18:00,JC,1,Paid
2025-12-16,18:00,JC,1,Unpaid
2025-12-19,18:00,JC,1,Unpaid
2025-12-22,18:00,JC,1,Unpaid
2025-12-25,18:00,JC,1,Paid
2025-12-28,18:00,JC,1,Unpaid
2025-12-31,18:00,JC,1,Paid
2026-01-03,18:00,JC,1,Unpaid
2026-01-06,18:00,JC,1,Unpaid
2026-01-09,18:00,JC,1,Unpaid
2026-01-12,18:00,JC,1,Paid
2026-01-15,18:00,JC,1,Unpaid
2026-01-18,18:00,JC,1,Unpaid
2026-01-21,18:00,JC,1,Unpaid
2026-01-24,18:00,JC,1,Unpaid
2026-01-27,18:00,JC,1,Paid
2026-01-30,18:00,JC,1,Unpaid
2026-02-02,18:00,JC,1,Unpaid
2026-02-05,18:00,JC,1,Unpaid
2026-02-08,18:00,JC,1,Paid
2026-02-11,18:00,JC,1,Unpaid
2026-02-14,18:00,JC,1,Unpaid
2026-02-17,18:00,JC,1,Unpaid
2026-02-20,18:00,JC,1,Unpaid
2026-02-23,18:00,JC,1,Unpaid
2026-02-26,18:00,JC,1,Unpaid
2026-03-01,18:00,JC,1,Unpaid
2026-03-04,18:00,JC,1,Unpaid
